instance_id	condition	A0_completed	A1_before_prod_edit	A2_impl_delegation	A3_workstream_coverage	A4_parallel_if_independent	A5_solution_independence	A6_parent_integration	A7_final_verification	overall_adherence	evidence
sympy__sympy-19201	multi										
django__django-12508	multi										
astropy__astropy-13398	multi										
sphinx-doc__sphinx-7590	multi										
django__django-11400	multi										
django__django-15957	multi										
sphinx-doc__sphinx-11510	multi										
sympy__sympy-17630	multi										
django__django-15268	multi										
django__django-15128	multi										
sympy__sympy-16597	multi										
django__django-16263	multi										
