instance_id	condition	position	resolved	test_fraction	patch_applied	eval_run_id	timed_out	protocol_status	delegation_completed	delegation_spawned	delegations	delegation_prompt_chars_total	wall_seconds	unique_assistant_messages	num_turns_reported	assistant_events	tool_calls_total	token_status	token_complete	total_tokens	output_tokens	input_tokens	cache_read_input_tokens	cache_creation_input_tokens	cost_usd_reported	patch_bytes	network_enforced
django__django-13449	multi	1	True	1.0	True	main-20260906-multi	False	pass	1	1	1	1916	152.85918899599983	33	28	61	31	complete	True	1135545	13246	3248	1068251	50800	0.5246067000000002	3473	True
django__django-13449	single	1	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	369.3656750750006	41	41	76	40	complete	True	1784260	21031	3264	1712499	47466	0.7459198	3586	True
django__django-16938	multi	8	True	1.0	True	main-20260906-multi	False	pass	1	1	1	3320	138.56683560499914	45	3	86	44	complete	True	1402398	11328	2311	1339804	48955	0.5372498	4647	True
django__django-16938	single	8	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	93.85654482499922	31	31	51	30	complete	True	914125	6236	2283	877829	27777	0.35128879999999996	3235	True
matplotlib__matplotlib-25775	multi	12	True	1.0	True	main-20260906-multi	False	pass	1	1	1	1932	317.9747451830008	64	57	125	76	complete	True	2855393	20105	1240	2762975	71073	0.998889	5703	True
matplotlib__matplotlib-25775	single	12	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	254.66001400700043	58	59	104	58	complete	True	2506002	13325	1228	2446952	44497	0.8018974000000002	4489	True
pydata__xarray-6938	multi	11	False	0.9976798143851509	True	main-20260906-multi	False	pass	1	1	1	4360	211.52880766100134	40	4	78	40	complete	True	1280748	12174	2082	1219293	47199	0.5245586	538	True
pydata__xarray-6938	single	11	False	0.9976798143851509	True	main-20260906-single	False	pass	0	0	0	0	233.59387901000082	50	50	90	49	complete	True	1779304	15346	2102	1728051	33805	0.6364172000000001	1983	True
pydata__xarray-6992	multi	2	False	0.987460815047022	True	main-20260906-multi	False	pass	2	2	2	1992	111.5427356149994	33	24	69	34	complete	True	988747	10729	1482	907366	69170	0.49211270000000007	1142	True
pydata__xarray-6992	single	2	False	0.987460815047022	True	main-20260906-single	False	pass	0	0	0	0	38.10681988900069	10	10	17	9	complete	True	217812	1787	1436	205807	8782	0.0955204	1128	True
pylint-dev__pylint-4551	multi	4	False	0.0	True	main-20260906-multi	False	pass	1	1	1	3334	214.21379406599954	57	7	105	55	complete	True	2497850	20557	1327	2405352	70614	0.9318379000000001	4851	True
pylint-dev__pylint-4551	single	4	False	0.0	True	main-20260906-single	False	pass	0	0	0	0	202.4299576430003	37	37	64	36	complete	True	1416388	14275	1287	1364669	36157	0.5615978	4074	True
pylint-dev__pylint-8898	multi	3	True	1.0	True	main-20260906-multi	False	pass	1	1	1	3014	156.30552255099974	41	1	76	41	complete	True	1433807	14620	2179	1378651	38357	0.5628926999999999	4343	True
pylint-dev__pylint-8898	single	3	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	135.03919634799968	25	25	43	24	complete	True	761049	8677	2147	728273	21952	0.32234460000000004	3508	True
pytest-dev__pytest-5787	multi	7	True	1.0	True	main-20260906-multi	False	pass	1	1	1	2674	287.0926143910001	47	39	92	46	complete	True	2044988	21603	2008	1946007	75370	0.8669394000000001	10458	True
pytest-dev__pytest-5787	single	7	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	474.7449296579998	68	68	123	67	complete	True	3539041	18004	2050	3454974	64013	1.1291977999999994	10625	True
scikit-learn__scikit-learn-25102	multi	5	True	1.0	True	main-20260906-multi	False	pass	1	1	1	1873	315.01374827499967	45	40	84	47	complete	True	2302493	30233	1684	2193316	77260	1.0224821999999998	6267	True
scikit-learn__scikit-learn-25102	single	5	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	342.98080121100065	34	34	61	33	complete	True	1543625	20927	1662	1468926	52110	0.7131452	7169	True
sphinx-doc__sphinx-7757	multi	10	True	1.0	True	main-20260906-multi	False	pass	1	1	1	2787	84.57546574599837	18	2	36	19	complete	True	456680	7519	1200	419025	28936	0.255183	2663	True
sphinx-doc__sphinx-7757	single	10	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	47.682673724999404	8	8	13	7	complete	True	177684	3398	1180	162615	10491	0.109588	1553	True
sphinx-doc__sphinx-8551	multi	9	True	1.0	True	main-20260906-multi	False	pass	1	1	1	3046	145.98777635999977	40	2	72	37	complete	True	1146846	9581	1694	1088949	46622	0.4663112999999999	713	True
sphinx-doc__sphinx-8551	single	9	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	172.69723746699856	41	41	71	40	complete	True	1398808	8417	1696	1356992	31703	0.4840784	668	True
sympy__sympy-15017	multi	6	False	0.9333333333333333	True	main-20260906-multi	False	pass	1	1	1	1988	174.55475569600094	50	32	94	53	complete	True	1644768	20241	1364	1569033	54130	0.6982585999999998	3297	True
sympy__sympy-15017	single	6	True	1.0	True	main-20260906-single	False	pass	0	0	0	0	296.99094610300017	51	51	93	50	complete	True	2133253	15821	1366	2062774	53292	0.7853058	3731	True
