started_at	finished_at	position	instance_id	condition	runner_exit_code	protocol_status	patch_bytes	timed_out
2026-09-07T04:55:31.254685+00:00	2026-09-07T04:55:36.122763+00:00	1	django__django-13449	multi	20			
2026-09-07T05:26:34.510871+00:00	2026-09-07T05:29:44.621300+00:00	1	django__django-13449	multi	0	pass	3473	False
2026-09-07T05:29:44.621905+00:00	2026-09-07T05:36:24.011634+00:00	1	django__django-13449	single	0	pass	3586	False
2026-09-07T05:36:24.012067+00:00	2026-09-07T05:38:43.155074+00:00	2	pydata__xarray-6992	multi	0	pass	1142	False
2026-09-07T05:38:43.155395+00:00	2026-09-07T05:39:49.143331+00:00	2	pydata__xarray-6992	single	0	pass	1128	False
2026-09-07T05:39:49.143681+00:00	2026-09-07T05:42:56.478889+00:00	3	pylint-dev__pylint-8898	multi	0	pass	4343	False
2026-09-07T05:42:56.479230+00:00	2026-09-07T05:45:40.647138+00:00	3	pylint-dev__pylint-8898	single	0	pass	3508	False
2026-09-07T05:45:40.647451+00:00	2026-09-07T05:49:31.592273+00:00	4	pylint-dev__pylint-4551	single	0	pass	4074	False
2026-09-07T05:49:31.592704+00:00	2026-09-07T05:53:35.978137+00:00	4	pylint-dev__pylint-4551	multi	0	pass	4851	False
2026-09-07T05:53:35.978542+00:00	2026-09-07T05:59:47.297398+00:00	5	scikit-learn__scikit-learn-25102	single	0	pass	7169	False
2026-09-07T05:59:47.297700+00:00	2026-09-07T06:05:33.182313+00:00	5	scikit-learn__scikit-learn-25102	multi	0	pass	6267	False
2026-09-07T06:05:33.182620+00:00	2026-09-07T06:08:57.525239+00:00	6	sympy__sympy-15017	multi	0	pass	3297	False
2026-09-07T06:08:57.525564+00:00	2026-09-07T06:14:23.181261+00:00	6	sympy__sympy-15017	single	0	pass	3731	False
2026-09-07T06:14:23.181561+00:00	2026-09-07T06:22:47.341132+00:00	7	pytest-dev__pytest-5787	single	0	pass	10625	False
2026-09-07T06:22:47.341431+00:00	2026-09-07T06:28:06.412865+00:00	7	pytest-dev__pytest-5787	multi	0	pass	10458	False
2026-09-07T06:28:06.413182+00:00	2026-09-07T06:30:54.289040+00:00	8	django__django-16938	multi	0	pass	4647	False
2026-09-07T06:30:54.289452+00:00	2026-09-07T06:32:59.590119+00:00	8	django__django-16938	single	0	pass	3235	False
2026-09-07T06:32:59.590416+00:00	2026-09-07T06:36:22.473225+00:00	9	sphinx-doc__sphinx-8551	single	0	pass	668	False
2026-09-07T06:36:22.473578+00:00	2026-09-07T06:39:16.222100+00:00	9	sphinx-doc__sphinx-8551	multi	0	pass	713	False
2026-09-07T06:39:16.222412+00:00	2026-09-07T06:41:09.023706+00:00	10	sphinx-doc__sphinx-7757	multi	0	pass	2663	False
2026-09-07T06:41:09.024026+00:00	2026-09-07T06:42:24.689592+00:00	10	sphinx-doc__sphinx-7757	single	0	pass	1553	False
2026-09-07T06:42:24.689906+00:00	2026-09-07T06:46:46.712323+00:00	11	pydata__xarray-6938	single	0	pass	1983	False
2026-09-07T06:46:46.712641+00:00	2026-09-07T06:50:49.775639+00:00	11	pydata__xarray-6938	multi	0	pass	538	False
2026-09-07T06:50:49.775976+00:00	2026-09-07T06:55:41.244079+00:00	12	matplotlib__matplotlib-25775	single	0	pass	4489	False
2026-09-07T06:55:41.244572+00:00	2026-09-07T07:01:39.099356+00:00	12	matplotlib__matplotlib-25775	multi	0	pass	5703	False
