started_at	finished_at	position	instance_id	condition	runner_exit_code	protocol_status	patch_bytes	timed_out
2026-09-08T03:57:54.303585+00:00	2026-09-08T03:58:00.281070+00:00	1	sympy__sympy-13878	multi	20			
2026-09-08T04:17:09.835389+00:00	2026-09-08T04:41:30.824675+00:00	1	sympy__sympy-13878	multi	0	pass	11140	False
2026-09-08T04:41:30.825332+00:00	2026-09-08T05:06:26.686893+00:00	1	sympy__sympy-13878	single	0	pass	10759	False
2026-09-08T05:06:26.687223+00:00	2026-09-08T05:13:06.240128+00:00	2	sympy__sympy-16597	multi	0	violation_no_completed_subagent	1426	False
2026-09-08T05:13:06.240456+00:00	2026-09-08T05:20:55.939383+00:00	2	sympy__sympy-16597	single	0	pass	2656	False
2026-09-08T05:20:55.939697+00:00	2026-09-08T05:22:53.277384+00:00	3	sympy__sympy-18199	multi	0	violation_no_completed_subagent	576	False
2026-09-08T05:22:53.277752+00:00	2026-09-08T05:24:53.919741+00:00	3	sympy__sympy-18199	single	0	pass	1273	False
2026-09-08T05:24:53.920063+00:00	2026-09-08T05:28:48.358610+00:00	4	django__django-15268	single	0	pass	5284	False
2026-09-08T05:28:48.358929+00:00	2026-09-08T05:32:03.405069+00:00	4	django__django-15268	multi	0	violation_no_completed_subagent	4218	False
2026-09-08T05:32:03.405376+00:00	2026-09-08T05:56:54.186360+00:00	5	django__django-16263	multi	0	pass	7785	False
2026-09-08T05:56:54.186688+00:00	2026-09-08T06:10:46.973016+00:00	5	django__django-16263	single	0	pass	5847	False
2026-09-08T06:10:46.973521+00:00	2026-09-08T06:20:15.751437+00:00	6	sympy__sympy-17630	single	0	pass	3576	False
2026-09-08T06:20:15.752020+00:00	2026-09-08T06:24:47.035690+00:00	6	sympy__sympy-17630	multi	0	violation_no_completed_subagent	1113	False
2026-09-08T06:24:47.036261+00:00	2026-09-08T06:34:44.702819+00:00	7	sphinx-doc__sphinx-11510	multi	0	violation_no_completed_subagent	3083	False
2026-09-08T06:34:44.703141+00:00	2026-09-08T06:40:57.294456+00:00	7	sphinx-doc__sphinx-11510	single	0	pass	3487	False
2026-09-08T06:40:57.295052+00:00	2026-09-08T06:48:23.125006+00:00	8	astropy__astropy-13398	multi	0	violation_no_completed_subagent	5098	False
2026-09-08T06:48:23.125435+00:00	2026-09-08T06:56:40.219133+00:00	8	astropy__astropy-13398	single	0	pass	4765	False
2026-09-08T06:56:40.219562+00:00	2026-09-08T06:59:43.694444+00:00	9	sympy__sympy-13852	single	0	pass	1123	False
2026-09-08T06:59:43.694963+00:00	2026-09-08T07:03:17.725341+00:00	9	sympy__sympy-13852	multi	0	violation_no_completed_subagent	1170	False
2026-09-08T07:03:17.725745+00:00	2026-09-08T07:10:04.554272+00:00	10	django__django-15128	single	0	pass	5868	False
