started_at	finished_at	position	instance_id	condition	runner_exit_code	protocol_status	patch_bytes	timed_out
2026-09-11T13:37:20.437621+00:00	2026-09-11T14:02:07.218131+00:00	1	django__django-16263	single	0	pass	5702	False
2026-09-11T14:02:07.218657+00:00	2026-09-11T14:25:54.899084+00:00	1	django__django-16263	multi	0	pass	7598	False
2026-09-11T14:25:54.899681+00:00	2026-09-11T14:26:28.140343+00:00	2	astropy__astropy-13398	single	20			
2026-09-11T14:38:11.738299+00:00	2026-09-11T14:38:11.886958+00:00	2	astropy__astropy-13398	single	20			
2026-09-11T14:40:59.863614+00:00	2026-09-11T14:41:00.012500+00:00	2	astropy__astropy-13398	multi	20			
2026-09-11T14:56:03.887153+00:00	2026-09-11T15:03:38.468387+00:00	2	astropy__astropy-13398	single	0	pass	5024	False
2026-09-11T15:03:38.468935+00:00	2026-09-11T15:12:52.759518+00:00	2	astropy__astropy-13398	multi	20			
2026-09-11T15:17:56.334674+00:00	2026-09-11T15:18:21.349360+00:00	2	astropy__astropy-13398	multi	20			
2026-09-11T15:20:55.940222+00:00	2026-09-11T15:30:59.612861+00:00	2	astropy__astropy-13398	multi	20			
2026-09-11T15:33:19.206330+00:00	2026-09-11T15:45:48.290571+00:00	2	astropy__astropy-13398	multi	30	pass	0	False
2026-09-11T16:01:06.853896+00:00	2026-09-11T16:34:03.528994+00:00	2	astropy__astropy-13398	multi	0	pass	19239	False
